date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2020-10-28,BTCUSDT,13636.16,13859.48,12888.0,13266.4,94440.561226,-0.027491298279312352,0.15585731931233357,1.4651463244930378,72.62817248169583,137.03212638945064,0.01416828517726635
2020-10-29,BTCUSDT,13266.4,13642.91,12920.77,13455.7,74872.602132,0.01416828517726635,-0.23218262389769423,1.2158509952821985,74.43541116574615,119.81000820311704,0.007728849021307219
2020-10-30,BTCUSDT,13455.69,13669.98,13115.0,13560.1,70657.778881,0.007728849021307219,-0.0579398234323198,1.1346828628711612,75.40008370708871,104.63998786977686,0.016884548375875077
2020-10-31,BTCUSDT,13560.1,14100.0,13411.5,13791.0,67339.238515,0.016884548375875077,-0.04810510193680312,1.0333369845827398,77.42872522747834,99.3858590221812,-0.0021413673004317957
2020-11-01,BTCUSDT,13791.0,13895.0,13603.0,13761.5,36285.648526,-0.0021413673004317957,-0.6183207999194432,0.5209665059533684,76.5600515449402,83.77760883681071,-0.015534786411904644
2020-11-02,BTCUSDT,13761.49,13830.0,13195.05,13549.37,64566.421908,-0.015534786411904644,0.5762721852617836,0.9311981414441101,70.44021286587784,50.6518401956904,0.03439658130142223
2020-11-03,BTCUSDT,13549.63,14066.11,13284.99,14023.53,74115.630787,0.03439658130142223,0.13793196090404677,1.061017946506709,75.21020992901686,51.96491659894332,0.00855457982732576
2020-11-04,BTCUSDT,14023.53,14259.0,13525.0,14144.01,93016.988262,0.00855457982732576,0.22715569410326747,1.3500907716679245,76.25854211879135,52.10529035451191,0.09733975303388694
2020-11-05,BTCUSDT,14144.01,15750.0,14093.56,15590.02,143741.522673,0.09733975303388694,0.4352345592738477,2.092506274469056,84.64922614620188,135.97674760900736,-0.0006480603012701369
2020-11-06,BTCUSDT,15590.02,15960.0,15166.0,15579.92,122618.197695,-0.0006480603012701369,-0.15894126129796243,1.5613809599505164,84.42478900526399,174.69708850508175,-0.050120002204518566
2020-11-07,BTCUSDT,15579.93,15753.52,14344.22,14818.3,101431.206553,-0.050120002204518566,-0.18969464318840282,1.1800527533018492,69.46743851503828,134.72937942353474,0.04336937714861154
2020-11-08,BTCUSDT,14818.3,15650.0,14703.88,15475.1,65547.178574,0.04336937714861154,-0.43661063380856197,0.7216858246517573,73.78137789462818,137.74987361402668,-0.009524311280312406
2020-11-09,BTCUSDT,15475.1,15840.0,14805.54,15328.41,108976.334134,-0.009524311280312406,0.5083605736849045,1.147055232941125,71.35646484044554,115.96538697218682,-0.0020375104761155144
2020-11-10,BTCUSDT,15328.41,15460.0,15072.46,15297.21,61681.919606,-0.0020375104761155144,-0.5691398898312579,0.6086055780491593,70.82329654514382,86.8815911039062,0.024985927702935035
2020-11-11,BTCUSDT,15297.21,15965.0,15272.68,15684.24,78469.746458,0.024985927702935035,0.24072230427730806,0.7880598372735812,73.47131735678339,81.23979107972161,0.03800921004285134
2020-11-12,BTCUSDT,15684.25,16340.7,15440.64,16291.86,102196.356592,0.03800921004285134,0.2641828722844361,1.0482198165981937,77.00051089571411,104.47910892813138,0.0017686441983009846
2020-11-13,BTCUSDT,16291.85,16480.0,15952.35,16320.7,75691.881014,0.0017686441983009846,-0.30022512478473345,0.826690367487066,77.15585066673128,107.42779200850032,-0.015452058926512477
2020-11-14,BTCUSDT,16320.04,16326.99,15670.0,16070.45,59116.347179,-0.015452058926512477,-0.24716341438636147,0.696663596399373,72.5753085965938,79.44840200837473,-0.007084577418178802
