date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2021-06-26,ETHUSDT,1808.97,1852.8,1717.32,1829.64,832315.14904,0.011444527214784062,-0.03133486499005538,0.8270496581071363,34.50349682467625,-38.82349488784541,0.08012847118323362
2021-06-27,ETHUSDT,1829.84,1984.5,1804.26,1982.28,696055.79307,0.08012847118323362,-0.1787813344256856,0.6602147104692887,40.50162432014472,-23.61506103850195,0.05023814421215937
2021-06-28,ETHUSDT,1982.27,2145.0,1960.52,2084.41,1044244.68308,0.05023814421215937,0.40561929216985193,0.9969356411743282,44.1847784228177,-4.6336070984517335,0.038086933196143376
2021-06-29,ETHUSDT,2084.42,2245.0,2073.57,2165.33,831257.23277,0.038086933196143376,-0.22810981873942854,0.8624781747068582,46.985051285488105,14.37465183629169,0.049706134058565464
2021-06-30,ETHUSDT,2165.46,2287.78,2087.99,2275.68,910583.6032,0.049706134058565464,0.0911464231405975,1.0835627226147113,50.62313242252014,34.248658386317686,-0.07729383221470298
2021-07-01,ETHUSDT,2275.68,2275.93,2073.12,2106.41,787865.25137,-0.07729383221470298,-0.144758641713416,0.938813494435558,45.468720656299595,35.700715728744626,0.02240185311990071
2021-07-02,ETHUSDT,2106.41,2160.0,2018.5,2154.13,672282.37476,0.02240185311990071,-0.15864862163674062,0.7894436823063334,47.103876187214965,39.29655867414715,0.03326396817441365
2021-07-03,ETHUSDT,2153.95,2240.0,2112.01,2226.99,569264.801,0.03326396817441365,-0.16633274731516162,0.6900652489355468,49.589349464920865,45.5623961367005,0.04207509883646496
2021-07-04,ETHUSDT,2226.99,2389.93,2189.58,2322.69,590656.25069,0.04207509883646496,0.036888502585241185,0.7501684552916336,52.73107627362979,54.527018407097046,-0.05584715432301095
2021-07-05,ETHUSDT,2322.69,2324.64,2157.32,2196.53,781806.31605,-0.05584715432301095,0.2803728241132838,1.0122989491343952,48.44473155073819,50.43038139893085,0.05576534927301046
2021-07-06,ETHUSDT,2196.85,2350.0,2193.0,2322.5,785330.17152,0.05576534927301046,0.004497197834458814,1.0687431775971572,52.58884053932631,54.33735913306444,-0.0025565482865500294
2021-07-07,ETHUSDT,2322.51,2409.0,2291.9,2316.57,666501.35572,-0.0025565482865500294,-0.16406205631194773,0.9152025911286307,52.37540939438216,54.51464161275783,-0.0904041869515329
2021-07-08,ETHUSDT,2316.25,2325.6,2084.79,2116.33,880265.04124,-0.0904041869515329,0.27818087164774485,1.2695154232915669,45.639639664115975,39.82026977081779,0.014383404756169537
2021-07-09,ETHUSDT,2116.32,2189.4,2046.51,2146.99,738611.36304,0.014383404756169537,-0.1754511584874461,1.045323172654488,46.7684854638312,31.21967649103013,-0.01705195297545401
2021-07-10,ETHUSDT,2146.99,2194.82,2074.16,2110.69,499071.85904,-0.01705195297545401,-0.3920217953896944,0.6969672035059996,45.56212952451662,22.545016142378998,0.014001179053283616
2021-07-11,ETHUSDT,2110.68,2174.0,2081.02,2140.45,342294.40302,0.014001179053283616,-0.3770788971688923,0.4848124895374402,46.774274964224816,18.443082239173116,-0.05220227186284738
2021-07-12,ETHUSDT,2140.54,2167.83,2006.68,2031.58,540630.10742,-0.05220227186284738,0.457064130585457,0.8062435215757783,43.00200880824302,8.533196586753093,-0.04604852576506507
2021-07-13,ETHUSDT,2031.57,2047.35,1918.0,1940.15,647388.24969,-0.04604852576506507,0.18021086643504486,1.0177450469397338,40.07870392607974,-3.403976946271726,0.02766821218840126
